,District,Bengali,Division,Established,Population (thousands)[28],Area (km2)[28]
0,Barguna District,বরগুনা,Barisal,1984,901,1940
1,Barisal District,বরিশাল,Barisal,1797,2426,2786
2,Bhola District,ভোলা,Barisal,1984,1947,3405
3,Jhalokati District,ঝালকাঠি,Barisal,1984,711,751
4,Patuakhali District,পটুয়াখালী,Barisal,1969,1596,3221
5,Pirojpur District,পিরোজপুর,Barisal,1984,1277,1308
6,Bandarban District,বান্দরবান,Chittagong,1981,405,4479
7,Brahmanbaria District,ব্রাহ্মণবাড়িয়া,Chittagong,1984,2954,1927
8,Chandpur District,চাঁদপুর,Chittagong,1984,2514,1704
9,Chattogram District,চট্টগ্রাম,Chittagong,1666,7913,5283
10,Comilla District,কুমিল্লা,Chittagong,1790,6003,3085
11,Cox's Bazar District,কক্সবাজার,Chittagong,1984,2382,2492
12,Feni District,ফেনী,Chittagong,1984,1496,928
13,Khagrachhari District,খাগড়াছড়ি,Chittagong,1983,639,2700
14,Lakshmipur District,লক্ষ্মীপুর,Chittagong,1984,1798,1456
15,Noakhali District,নোয়াখালী,Chittagong,1821,3232,3601
16,Rangamati District,রাঙ্গামাটি,Chittagong,1983,620,6116
17,Dhaka District,ঢাকা,Dhaka,1772,12518,1464
18,Faridpur District,ফরিদপুর,Dhaka,1815,1989,2073
19,Gazipur District,গাজীপুর,Dhaka,1984,3548,1800
20,Gopalganj District,গোপালগঞ্জ,Dhaka,1984,1218,1490
21,Kishoreganj District,কিশোরগঞ্জ,Dhaka,1984,3029,2689
22,Madaripur District,মাদারীপুর,Dhaka,1984,1212,1145
23,Manikganj District,মানিকগঞ্জ,Dhaka,1984,1447,1379
24,Munshiganj District,মুন্সিগঞ্জ,Dhaka,1984,1503,955
25,Narayanganj District,নারায়ণগঞ্জ,Dhaka,1984,3074,700
26,Narsingdi District,নরসিংদী,Dhaka,1984,2315,1141
27,Rajbari District,রাজবাড়ী,Dhaka,1984,1091,1119
28,Shariatpur District,শরীয়তপুর,Dhaka,1984,1202,1182
29,Tangail District,টাঙ্গাইল,Dhaka,1969,3750,3414
30,Bagerhat District,বাগেরহাট,Khulna,1984,1461,3959
31,Chuadanga District,চুয়াডাঙ্গা,Khulna,1984,1123,1177
32,Jessore District,যশোর,Khulna,1781,2742,2567
33,Jhenaidah District,ঝিনাইদহ,Khulna,1984,1756,1961
34,Khulna District,খুলনা,Khulna,1882,2376,4401
35,Kushtia District,কুষ্টিয়া,Khulna,1947,1933,1601
36,Magura District,মাগুরা,Khulna,1984,913,1049
37,Meherpur District,মেহেরপুর,Khulna,1984,652,716
38,Narail District,নড়াইল,Khulna,1984,715,990
39,Satkhira District,সাতক্ষীরা,Khulna,1984,2151,3879
40,Jamalpur District,জামালপুর,Mymensingh,1978,2265,2032
41,Mymensingh District,ময়মনসিংহ,Mymensingh,1787,5042,4363
42,Netrokona District,নেত্রকোণা,Mymensingh,1984,2207,2810
43,Sherpur District,শেরপুর,Mymensingh,1984,1334,1364
44,Bogura District,বগুড়া,Rajshahi,1821,3370,2920
45,Joypurhat District,জয়পুরহাট,Rajshahi,1983,909,965
46,Naogaon District,নওগাঁ,Rajshahi,1984,2576,3436
47,Natore District,নাটোর,Rajshahi,1984,1696,1896
48,Chapainawabganj District,চাঁপাইনবাবগঞ্জ,Rajshahi,1984,1647,1703
49,Pabna District,পাবনা,Rajshahi,1832,2497,2372
50,Rajshahi District,রাজশাহী,Rajshahi,1772,2573,2407
51,Sirajganj District,সিরাজগঞ্জ,Rajshahi,1984,3072,2498
52,Dinajpur District,দিনাজপুর,Rangpur,1786,2980,3438
53,Gaibandha District,গাইবান্ধা,Rangpur,1984,2349,2179
54,Kurigram District,কুড়িগ্রাম,Rangpur,1984,2050,2296
55,Lalmonirhat District,লালমনিরহাট,Rangpur,1984,1249,1241
56,Nilphamari District,নীলফামারী,Rangpur,1984,1820,1580
57,Panchagarh District,পঞ্চগড়,Rangpur,1984,981,1405
58,Rangpur District,রংপুর,Rangpur,1772,2866,2368
59,Thakurgaon District,ঠাকুরগাঁও,Rangpur,1984,1380,1810
60,Habiganj District,হবিগঞ্জ,Sylhet,1984,2059,2637
61,Moulvibazar District,মৌলভীবাজার,Sylhet,1984,1902,2799
62,Sunamganj District,সুনামগঞ্জ,Sylhet,1984,2443,3670
63,Sylhet District,সিলেট,Sylhet,1782,5316,3490
